,url,output,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,pc1,pc2
106,<nimsajevil>,<srareerin>>>>o>>a>rf>ni>9ty4<j,-0.19628748,2.504938,-4.5768456,0.19280365,-0.44096106,-4.765892,2.501493,2.166129,-0.15384799,-0.061558187
107,<nozama>,vx2zaap>3jzk129n<k946zg6kymy0t41,-0.59819424,4.902103,-8.709432,0.1942026,-0.5572214,-9.00396,4.5725484,3.852429,0.043230858,0.1659334
108,<xobpord>,unidkmaupwbpyubl8sfph29ty4bj,-1.7230259,4.605062,-6.5843897,-0.76635766,0.778691,-6.290677,2.6453938,1.9779658,0.016139677,-0.041197162
109,<tenc>,fwp>y>3yx54cptpebn>tsni>yt02r0,-5.4873304,9.085632,-10.170621,-3.227657,3.9515712,-8.598688,2.2300656,0.85690296,0.37764576,-0.07506401
110,<rkcilf>,<321zap>kipdb2ww<kyv6zg6ncmyytm1,0.22443387,3.3232026,-6.753789,0.64962924,-1.1085837,-7.252049,4.0025105,3.5331402,-0.08530844,0.101117484
111,<tenxip>,<321zap>kyzk12wn<k946zg6kcmy9tm1,0.24672267,3.516559,-7.1621933,0.69442385,-1.1794776,-7.6957645,4.2472415,3.7466702,-0.069287844,0.12779516
112,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
113,<loa>,fx5>>y>56649j35jzk946zb6kymy02r1,-5.1649866,9.93247,-12.268016,-2.8477051,3.3885038,-10.960514,3.6212456,2.1105223,0.4483269,0.07599757
114,<swanozama>,<srorreren>>>>o>>a>b>>ni>96gy4<j,0.15980229,2.066583,-4.2092147,0.42362347,-0.73750484,-4.5171695,2.5245516,2.258335,-0.18924375,-0.060117118
115,<nropuoy>,utwusgol>>ypnntiebn>tsni>9tg4<j,-3.311362,5.77541,-6.6903224,-1.9038899,2.288057,-5.766526,1.6767473,0.8273796,0.10919035,-0.14220332
116,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
117,<uogos>,vn6zaa>>3jzv129nzk946zg6kymyyt41,-1.7812085,6.010753,-9.25127,-0.62055725,0.51108897,-9.10623,4.1117053,3.2181404,0.13210931,0.11921187
118,<gnikoob>,utwestol>>fpsntcebn>tsni>9tg4<j,-2.3589382,4.635371,-5.770377,-1.2820507,1.4868484,-5.16908,1.7745224,1.1048744,0.017193705,-0.13441816
119,<deefzzub>,ukiattaib>>>>nwclbn>tsni>9ty4<j,-1.8344103,4.2047896,-5.6492825,-0.9124755,0.9988065,-5.2505465,2.0458941,1.4433745,-0.017175175,-0.1063668
120,<erahsedils>,<tnilreree>>>>>>>a>b>>ni>9tgg4<j,0.34825453,1.556965,-3.4721956,0.50766075,-0.82890904,-3.808224,2.2310946,2.0461187,-0.23090908,-0.09276873
121,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
122,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
123,<aidemwen2m>,<srareeiin>>>ow>la>rf>ni>9ty4<j,-0.36015502,2.6739078,-4.6820517,0.08209494,-0.29666045,-4.8121576,2.4547496,2.0928152,-0.14026378,-0.06616905
124,<olbema>,vx2zaap>3jzk129n<k946zg6kymy9t41,-0.21884504,4.377196,-8.204593,0.43216446,-0.8596762,-8.618725,4.5336266,3.8964133,0.0007362784,0.16051301
125,<semityn>,ukwustop>>ypnntiebn>tsni>9tg4<j,-3.0201783,5.494885,-6.542022,-1.704422,2.026993,-5.7253942,1.7816206,0.9762316,0.086683705,-0.13163018
126,<rehtaew>,ukidtmail>>p>nwclbn>tsni>9ty4<j,-1.8319902,4.2822547,-5.804018,-0.89981514,0.97769403,-5.4162416,2.1347718,1.5197526,-0.010770985,-0.09666493
127,<revreseruces>,<snrlroteeeee>>>>>>b>>ni>97gvp<j,1.4408556,0.1079038,-2.125477,1.1956704,-1.709254,-2.8213353,2.1815066,2.2266216,-0.3483573,-0.101608686
128,<xatllaadanac>,<snilroteeeee>>>>>>b>>ni>97gv4<j,0.7269547,1.1827561,-3.2609236,0.7657521,-1.1661202,-3.7351801,2.3570435,2.2308145,-0.26095444,-0.080154255
129,<obolg>,fnbzam>5q6z9356zk9q6z9lkym02r1,-3.1482375,6.920255,-9.151431,-1.61309,1.8334537,-8.451651,3.1700203,2.1357002,0.20412251,0.020494172
130,<elgoog>,<elgoog>6vgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
131,<sdakcilcno>,utsatneitn>>>>w>>a>rf>ni>9ty4<j,-0.67798126,2.7948053,-4.48199,-0.161023,0.032102942,-4.471678,2.136269,1.7560503,-0.1310013,-0.10001274
132,<rrevif>,<x21zap>3jzk129n<k946zg6kymy0t41,0.23087081,3.4645689,-7.038821,0.67431086,-1.1492984,-7.558046,4.167374,3.675243,-0.07361836,0.11911693
133,<aikiw>,fnozam>>qjz9j35nzk946zg6kymy02r1,-2.7878532,6.663145,-9.143821,-1.3538874,1.4891298,-8.588043,3.3989031,2.4045844,0.18370764,0.04441688
134,<niarbtuo>,uridbadupw>>>awvlgsfph29ty4bj,-1.0432843,3.6387002,-5.6294327,-0.34358132,0.2430753,-5.5466566,2.5469007,2.0322952,-0.06213009,-0.054030374
135,<pley>,fwb>m>35x6493ygz<latsni>ym02r1,-5.337016,9.148336,-10.499533,-3.0961554,3.767699,-9.009041,2.512767,1.1289409,0.3831671,-0.044623114
136,<trakpilf>,utiaitoi>>>>>nwcebn>tsni>9ty4<j,-1.5618207,3.743911,-5.122964,-0.75301886,0.8013681,-4.799606,1.9255657,1.3961685,-0.054622393,-0.12034565
137,<allizom>,uywustop>>ypnptiebn>tsni>ltg4<j,-3.192923,5.771629,-6.8455696,-1.8075645,2.1556976,-5.9792747,1.8409786,0.9917722,0.10914682,-0.12461649
138,<fda>,fx5>>y>56649j35jzk946zb6kymy02r1,-4.9498587,9.64337,-11.998483,-2.7115946,3.21505,-10.759832,3.6084893,2.1434472,0.424938,0.07394969
139,<aidemikiw>,uretredupl>>>awvla>fph29ty4<j,-0.8049401,3.2538648,-5.204594,-0.20176649,0.06638986,-5.1899633,2.4613388,2.0078545,-0.09337205,-0.06408793
140,<etiustooh>,<srorrtres>>>>o>>a>rf>ni>9ty4<j,-0.055618316,2.2760446,-4.322731,0.2763299,-0.5448687,-4.551655,2.4491255,2.1500614,-0.17243347,-0.06770346
141,<vertcerid>,<snolreren>>>>>>>a>rf>ni>9ty4<j,-0.08599195,2.2314703,-4.1939573,0.24539737,-0.50019866,-4.4024076,2.356927,2.0651257,-0.17618445,-0.07769184
